
1,"Scottsdale, AZ",58.89,80,1,6
2,"Orlando, FL",58.29,7,4,51
3,"Tampa, FL",57.61,10,17,13
4,"Austin, TX",56.17,31,2,54
5,"Phoenix, AZ",55.89,26,16,15
6,"Las Vegas, NV",55.56,60,9,4
7,"Atlanta, GA",53.81,23,6,71
8,"St. Louis, MO",53.51,17,20,45
9,"Seattle, WA",53.38,76,7,11
10,"Portland, OR",53.32,54,21,9
11,"San Diego, CA",53.14,90,3,7
12,"Albuquerque, NM",53.14,16,47,20
13,"Birmingham, AL",52.51,18,27,48
14,"Oklahoma City, OK",51.49,1,59,82
15,"Raleigh, NC",51.14,19,10,83
16,"Colorado Springs, CO",50.62,53,42,12
17,"Irvine, CA",50.43,98,8,2
18,"Sacramento, CA",50.37,50,36,19
19,"Tucson, AZ",50.21,43,26,42
20,"Cincinnati, OH",50.21,22,49,33
21,"Denver, CO",50.16,77,11,25
22,"San Antonio, TX",50.05,8,45,58
23,"Pittsburgh, PA",49.47,44,48,23
24,"Lexington-Fayette, KY",49.09,25,19,93
25,"Fort Worth, TX",49.05,27,23,76
26,"Miami, FL",48.75,36,22,69
27,"Los Angeles, CA",48.62,97,13,3
28,"Plano, TX",48.36,93,5,31
29,"North Las Vegas, NV",48.32,32,73,22
30,"Anaheim, CA",48.30,66,12,43
30,"Boise, ID",48.30,57,41,29
32,"Tulsa, OK",48.25,6,55,72
33,"Oakland, CA",48.23,83,30,8
34,"New Orleans, LA",47.85,42,43,49
35,"Houston, TX",47.77,29,44,59
36,"St. Petersburg, FL",47.42,46,56,27
37,"Long Beach, CA",46.98,81,40,10
38,"Jersey City, NJ",46.94,87,15,14
39,"Boston, MA",46.91,63,32,38
40,"Louisville, KY",46.89,13,35,95
41,"San Francisco, CA",46.86,100,18,1
42,"Chesapeake, VA",46.57,34,76,28
43,"Columbus, OH",46.51,11,75,63
44,"Virginia Beach, VA",46.47,12,51,90
45,"Henderson, NV",46.17,52,66,24
46,"Arlington, TX",45.68,58,38,56
47,"Bakersfield, CA",45.50,48,71,35
48,"Washington, DC",45.11,88,33,17
49,"Corpus Christi, TX",44.93,3,87,80
50,"Fremont, CA",44.64,92,54,5
51,"Kansas City, MO",44.60,21,79,57
52,"Madison, WI",44.55,56,67,37
53,"Gilbert, AZ",44.48,70,25,73
54,"New York, NY",44.31,99,14,16
55,"Winston-Salem, NC",43.77,28,69,88
56,"Garland, TX",43.75,71,34,62
57,"Glendale, AZ",43.62,64,39,61
58,"Memphis, TN",43.49,5,82,94
59,"Dallas, TX",43.40,85,29,47
60,"Hialeah, FL",43.16,49,62,65
61,"Lincoln, NE",43.01,14,89,74
62,"Minneapolis, MN",42.94,65,65,40
63,"Durham, NC",42.88,45,52,89
64,"Indianapolis, IN",42.60,20,57,98
65,"Greensboro, NC",42.53,15,80,64
66,"Omaha, NE",42.45,33,77,81
67,"St. Paul, MN",42.43,51,85,41
68,"Stockton, CA",42.31,41,94,39
69,"Philadelphia, PA",42.31,84,50,36
70,"El Paso, TX",42.30,24,93,44
71,"Fort Wayne, IN",42.14,9,63,100
72,"Jacksonville, FL",42.06,38,68,86
73,"Toledo, OH",42.01,4,92,60
74,"Lubbock, TX",41.98,47,72,79
75,"Cleveland, OH",41.62,40,81,77
76,"Riverside, CA",41.61,86,64,32
77,"Irving, TX",41.47,78,31,84
78,"San Jose, CA",41.44,59,88,26
79,"Chicago, IL",41.44,96,24,50
80,"Chandler, AZ",40.65,73,53,68
81,"Reno, NV",40.48,61,60,85
82,"Wichita, KS",40.39,30,78,99
83,"Mesa, AZ",40.27,73,58,75
84,"Baton Rouge, LA",40.13,39,70,96
85,"Norfolk, VA",39.93,55,90,52
86,"Charlotte, NC",39.80,67,37,97
87,"Honolulu, HI",39.67,72,96,21
88,"Baltimore, MD",39.45,68,84,53
89,"San Bernardino, CA",39.35,62,95,18
90,"Anchorage, AK",39.22,82,86,30
91,"Detroit, MI",38.79,37,97,66
92,"Aurora, CO",38.63,79,61,70
93,"Nashville, TN",38.35,75,74,78
94,"Newark, NJ",38.26,94,28,92
95,"Santa Ana, CA",37.88,95,46,55
96,"Chula Vista, CA",37.62,89,83,34
97,"Milwaukee, WI",36.65,35,98,87
98,"Buffalo, NY",35.10,69,91,91
99,"Laredo, TX",34.29,2,100,67
100,"Fresno, CA",32.75,91,99,46
